matchup,winner,moves,minimax_nodes,minimax_depth,avg_time_agent1,avg_time_agent2,win_type,memory_mb,avg_branching_factor,avg_heuristic_delta
random_vs_smart,agent2,10,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00028,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00028,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00034,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,20,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00026,vertical,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00026,vertical,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00033,vertical,171.96,,
random_vs_smart,agent2,24,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00028,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,36,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent1,17,,,0.0,0.00034,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,34,,,0.0,0.00028,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00025,horizontal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,34,,,0.0,0.00027,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent1,21,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,36,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent1,21,,,0.0,0.00034,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00041,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00042,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,32,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00034,vertical,171.96,,
random_vs_smart,agent1,33,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00028,horizontal,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,24,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00029,vertical,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent1,19,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00027,vertical,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,30,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00028,vertical,171.96,,
random_vs_smart,agent2,28,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,36,,,0.0,0.00027,horizontal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00026,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00029,diagonal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,10,,,0.0,0.0003,vertical,171.96,,
random_vs_smart,agent2,12,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00033,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.0003,diagonal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00033,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00035,horizontal,171.96,,
random_vs_smart,agent1,21,,,0.0,0.00035,horizontal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00035,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00034,vertical,171.96,,
random_vs_smart,agent2,26,,,0.0,0.00034,vertical,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00033,diagonal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.0003,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00032,horizontal,171.96,,
random_vs_smart,agent2,14,,,0.0,0.00033,horizontal,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00034,diagonal,171.96,,
random_vs_smart,agent2,26,,,0.0,0.0004,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00032,diagonal,171.96,,
random_vs_smart,agent1,41,,,0.0,0.00029,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00031,vertical,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00057,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00067,vertical,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00063,diagonal,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00041,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00052,vertical,171.96,,
random_vs_smart,agent2,30,,,0.0,0.00057,vertical,171.96,,
random_vs_smart,agent2,8,,,0.0,0.00044,horizontal,171.96,,
random_vs_smart,agent2,18,,,0.0,0.00035,horizontal,171.96,,
random_vs_smart,agent2,20,,,0.0,0.00057,vertical,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00033,horizontal,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00032,vertical,171.96,,
random_vs_smart,agent2,10,,,0.0,0.00031,horizontal,171.96,,
random_vs_smart,agent2,16,,,0.0,0.00033,vertical,171.96,,
random_vs_smart,agent2,24,,,0.0,0.00031,diagonal,171.96,,
random_vs_smart,agent2,22,,,0.0,0.00032,diagonal,171.96,,
